src_ip,dst_ip
10.12.41.200,10.12.1.37
10.12.88.197,10.12.1.2
10.12.41.206,10.12.1.37
10.12.45.50,10.12.1.225
10.12.45.50,10.12.1.2
10.13.132.10,10.12.1.100
10.12.44.176,10.12.1.67
10.12.44.176,10.12.1.37
10.12.36.30,10.12.36.34
10.12.36.30,10.12.36.32
10.12.45.118,10.12.1.2
10.12.92.22,10.12.1.2
10.12.92.22,10.12.1.225
10.12.86.45,10.12.1.67
10.12.86.45,10.12.1.2
10.12.87.73,10.12.1.40
10.12.87.73,10.12.1.225
10.12.87.73,10.12.1.225
10.12.88.187,10.12.1.37
10.12.44.132,10.12.1.100
10.12.44.132,10.12.1.100
10.12.44.132,10.12.1.37
10.12.44.132,10.12.1.2
10.12.1.195,209.95.56.60
10.12.1.195,209.95.56.60
10.12.1.195,10.1.100.158
10.12.1.195,10.1.100.158
10.12.1.195,173.244.217.42
10.12.1.195,173.244.217.42
10.12.1.195,122.193.207.123
10.12.16.37,10.12.1.37
10.12.32.41,10.12.1.37
10.12.32.41,10.12.1.2
10.12.44.69,10.12.1.2
10.12.44.69,10.12.1.37
10.12.20.50,10.12.1.2
10.12.20.50,10.12.1.67
10.12.20.50,10.12.1.37
10.12.20.50,10.12.1.164
10.12.60.60,10.12.1.25
10.12.60.60,10.12.1.207
10.12.60.60,10.12.1.37
10.12.88.68,10.12.1.2
10.12.49.47,10.12.1.37
10.12.49.47,10.12.1.100
10.12.49.47,10.12.1.37
10.12.24.45,10.12.1.37
10.12.90.64,10.12.1.37
10.12.87.33,10.12.1.37
10.12.87.33,10.12.1.40
10.12.87.33,10.12.1.40
10.12.2.30,10.12.20.32
10.12.2.30,10.12.20.54
10.12.2.30,10.12.20.39
10.12.2.30,10.12.28.41
10.12.2.30,10.12.20.47
10.12.44.93,10.12.1.225
10.12.44.93,10.12.1.37
10.12.60.71,10.12.1.37
10.12.60.71,10.12.1.2
10.12.60.71,10.12.1.225
10.12.92.11,10.12.1.2
10.12.45.43,10.12.1.2
10.12.45.43,10.12.1.37
10.12.44.130,10.12.1.100
10.12.44.130,10.12.1.37
10.12.1.31,10.0.11.5
10.12.88.80,10.12.1.37
10.12.52.39,10.12.1.2
10.12.52.39,10.12.1.37
10.12.45.74,10.12.1.2
10.12.44.88,10.12.1.37
10.12.44.88,10.12.1.2
10.12.44.88,10.12.1.225
10.12.44.88,10.12.1.225
10.12.44.88,10.12.1.37
10.12.86.22,10.12.1.225
10.12.86.22,10.12.1.2
10.12.8.29,10.12.8.50
10.12.106.29,10.12.1.37
10.12.88.54,10.12.1.37
10.12.88.54,10.12.1.67
10.12.44.54,10.12.1.37
10.12.10.59,10.12.1.67
10.12.10.59,10.12.1.67
10.12.10.59,10.12.1.225
10.12.10.59,10.12.1.37
10.12.52.70,10.12.1.37
10.12.52.70,10.12.1.2
10.12.90.31,10.12.1.37
10.12.44.39,10.12.44.53
10.12.44.39,10.12.1.37
10.12.88.167,10.12.1.37
10.12.60.69,10.12.1.225
10.12.60.69,10.12.1.37
10.12.44.57,10.12.1.2
10.12.44.151,10.12.1.37
10.12.49.74,10.12.1.2
10.12.49.74,10.12.1.2
10.12.49.74,10.12.1.37
10.12.49.74,10.12.1.100
10.12.90.66,10.12.1.37
10.12.88.36,10.12.1.2
10.12.41.45,10.12.1.2
10.12.41.45,10.12.1.37
10.12.88.180,10.12.1.37
10.12.44.124,10.12.1.2
10.12.44.124,10.12.1.37
10.12.49.61,10.12.1.207
10.12.49.61,10.12.1.37
10.12.49.61,10.12.1.37
10.12.49.61,10.12.1.100
10.12.49.61,10.12.1.100
10.12.49.61,10.12.1.100
10.12.49.61,10.12.1.2
10.12.49.61,10.12.1.207
